"","EGFR","ERBB234","ratio","value"
"LOXIMVI_SKIN",2.83013190752847,0.5403849575219,5.23725145960187,"high"
"SW1271_LUNG",3.1241184466507,0.922797513488821,3.38548641601703,"high"
"ES2_OVARY",3.80092666367894,1.50940683842325,2.51815916486072,"high"
"NCIH1341_LUNG",4.05008916897252,1.72852011300204,2.34309635074969,"high"
"GMS10_CENTRAL_NERVOUS_SYSTEM",3.10506662431314,1.32814854440486,2.33789107204459,"high"
"SF126_CENTRAL_NERVOUS_SYSTEM",3.56861308580675,1.57137678462743,2.27101044174638,"high"
"SKNAS_AUTONOMIC_GANGLIA",3.56124632108724,1.62296197030105,2.19428821269709,"high"
"U87MG_CENTRAL_NERVOUS_SYSTEM",3.18726568372871,1.56098112021899,2.04183487067516,"high"
"SKNSH_AUTONOMIC_GANGLIA",2.67789626623458,1.34904396260835,1.985032616029,"high"
"ONS76_CENTRAL_NERVOUS_SYSTEM",3.57281427451188,1.96473319177704,1.81847300664798,"high"
"KPNSI9S_AUTONOMIC_GANGLIA",2.40833871914651,1.44863509048238,1.66248818282081,"high"
"SW579_THYROID",4.13886641839007,2.5779651711369,1.60547801992407,"high"
"NCIH2452_PLEURA",4.54804645414244,2.97747523733579,1.52748422459156,"high"
"GCT_SOFT_TISSUE",3.51255995824708,2.47488395291704,1.41928269166196,"high"
"GAMG_CENTRAL_NERVOUS_SYSTEM",4.51586694148954,3.2943419913172,1.37079482136095,"high"
"HCC44_LUNG",4.19583657023693,3.14899014796857,1.33243877340921,"high"
"HSC2_UPPER_AERODIGESTIVE_TRACT",7.09164840337224,5.56845267596687,1.2735402123429,"high"
"OE21_OESOPHAGUS",7.22982361734222,5.7453170542748,1.25838549013807,"high"
"KYSE70_OESOPHAGUS",4.22777705400194,3.37486749962066,1.25272386381899,"high"
"HEYA8_OVARY",4.354493493994,3.48431678801731,1.24974098479486,"high"
"HS683_CENTRAL_NERVOUS_SYSTEM",3.68001895442824,2.97971784354951,1.23502262551293,"high"
"DAOY_CENTRAL_NERVOUS_SYSTEM",3.33539416795961,2.77577332696699,1.20160898426245,"high"
"JHH6_LIVER",4.13572056186004,3.47605709720217,1.1897734836372,"high"
"VMRCRCZ_KIDNEY",5.06307963775054,4.27213579386105,1.18514014583199,"high"
"LU99_LUNG",5.05160054527222,4.33765399371992,1.16459278508289,"high"
"PK45H_PANCREAS",4.7233328160351,4.19291143550823,1.12650431297807,"high"
"SKNFI_AUTONOMIC_GANGLIA",2.43852529973626,2.24754842493956,1.08497119469265,"high"
"BFTC909_KIDNEY",2.6680949701722,2.46208488008073,1.08367302514961,"high"
"SW1088_CENTRAL_NERVOUS_SYSTEM",3.4572076249538,3.21322254623844,1.07593158432209,"high"
"KMRC1_KIDNEY",3.19889445643441,2.99138315755966,1.06936968216537,"high"
