"","EGFR","ERBB234","ratio","value"
"LOXIMVI_SKIN",2.8399228457108,0.54428784609832,5.21768557954865,"high"
"SW1271_LUNG",3.13373406385631,0.928753265650152,3.37412979287089,"high"
"ES2_OVARY",3.81086031316898,1.5177647025331,2.51083735628374,"high"
"NCIH1341_LUNG",4.06014418033971,1.73743888067069,2.33685583159761,"high"
"GMS10_CENTRAL_NERVOUS_SYSTEM",3.11449217799034,1.33587656404508,2.33142212522957,"high"
"SF126_CENTRAL_NERVOUS_SYSTEM",3.57841304143929,1.58012338417148,2.2646415319748,"high"
"SKNAS_AUTONOMIC_GANGLIA",3.57151302968828,1.63206329987746,2.1883422229741,"high"
"U87MG_CENTRAL_NERVOUS_SYSTEM",3.19680503503853,1.56905070895714,2.03741346075633,"high"
"SKNSH_AUTONOMIC_GANGLIA",2.68692823828995,1.35690931745671,1.98018261332756,"high"
"ONS76_CENTRAL_NERVOUS_SYSTEM",3.58263339357854,1.97458692298661,1.81437107268983,"high"
"SW579_THYROID",4.14895984832218,2.5880142897625,1.60314410346742,"high"
"NCIH2452_PLEURA",4.55828935671661,2.98822656846742,1.52541624681907,"high"
"GCT_SOFT_TISSUE",3.52217618981082,2.48516492471151,1.41728066205493,"high"
"GAMG_CENTRAL_NERVOUS_SYSTEM",4.52609956352446,3.3064313658207,1.36887751861772,"high"
"HCC44_LUNG",4.20595343706262,3.16291743698545,1.32977022665229,"high"
"HSC2_UPPER_AERODIGESTIVE_TRACT",7.10200084408162,5.58584733035018,1.27142766783001,"high"
"OE21_OESOPHAGUS",7.24043044995556,5.76375980498704,1.25619919894837,"high"
"KYSE70_OESOPHAGUS",4.23790666134263,3.38600487857771,1.25159496613684,"high"
"HEYA8_OVARY",4.36401573205797,3.49647477818363,1.24811875071641,"high"
"HS683_CENTRAL_NERVOUS_SYSTEM",3.68975937643589,2.99034500637167,1.23389086161428,"high"
"DAOY_CENTRAL_NERVOUS_SYSTEM",3.34503639232739,2.78672810574193,1.20034544648798,"high"
"JHH6_LIVER",4.14581267044925,3.48856513563383,1.18840053410555,"high"
"VMRCRCZ_KIDNEY",5.07287422237093,4.28535099486418,1.1837709976267,"high"
"LU99_LUNG",5.06197772995589,4.35106624857396,1.1633878779977,"high"
"PK45H_PANCREAS",4.73370682310657,4.20697229246867,1.12520513424366,"high"
"BFTC909_KIDNEY",2.67703740470794,2.47289171761922,1.08255342748499,"high"
"SW1088_CENTRAL_NERVOUS_SYSTEM",3.46693541203634,3.22574946296933,1.07476896511516,"high"
"KMRC1_KIDNEY",3.20843180804938,3.00223251606599,1.06868198611531,"high"
"KYSE520_OESOPHAGUS",7.57262152430306,7.26543153138152,1.04228103886117,"high"
"DKMG_CENTRAL_NERVOUS_SYSTEM",4.7431402769935,4.57097900894622,1.0376639813288,"high"
"NCIH28_PLEURA",4.31962062557446,4.19886153688949,1.02875995972337,"middle"
"SNU387_LIVER",3.21171213571058,3.24227724489419,0.990572950159725,"middle"
"SNU423_LIVER",3.30248783070758,3.38000027740324,0.977067325344951,"middle"
"HS766T_PANCREAS",3.44953502521256,3.53715416820865,0.975228916007225,"middle"
"BT549_BREAST",3.651521381988,3.75630121343892,0.97210558325939,"middle"
"CALU6_LUNG",2.73556837371698,2.8274328565966,0.967509579346759,"middle"
"ISTMES1_PLEURA",4.95039966804314,5.13576587383663,0.963906803708125,"middle"
"U118MG_CENTRAL_NERVOUS_SYSTEM",3.44459966523479,3.58622039334453,0.960509753284386,"middle"
"HCC827_LUNG",7.75923254478654,8.18622601970727,0.947840009072216,"middle"
"MSTO211H_PLEURA",3.49434437380478,3.70577826822049,0.942944806971078,"middle"
"SKLMS1_SOFT_TISSUE",3.2912164596345,3.50004060041747,0.940336651878248,"middle"
"LOUNH91_LUNG",4.7078741015875,5.01306622503241,0.93912066792157,"middle"
"MDAMB468_BREAST",7.16178332683264,7.64748196459304,0.936489077057112,"middle"
